Check_EFT_Number,Check_Date,Payer,Total_Claims,Total_Billed,Total_Allowed,Gross_Provider_Paid,Provider_Adjustment,Expected_Bank_Deposit
100100000,09/01/21,MEDICARE,50,14142.85,4995.96,4487.38,-120,4367.38
100100001,09/02/21,MEDICARE,50,13067.54,4730.43,4232.48,-120,4112.48
100100002,09/03/21,MEDICARE,50,12202.96,4653.12,4112.04,-120,3992.04
100100003,09/04/21,MEDICARE,50,14938.23,5375.83,4758.42,-120,4638.42
100100004,09/05/21,MEDICARE,50,13197.5,4686.06,4195.18,-120,4075.18
100100005,09/06/21,MEDICARE,50,13348.51,4340.25,3925.46,-120,3805.46
100100006,09/07/21,MEDICARE,50,14078.6,5325.98,4876.04,-120,4756.04
100100007,09/08/21,MEDICARE,50,12664.34,4627.84,4190.79,-120,4070.79
100100008,09/09/21,MEDICARE,50,13587.11,5283.14,4925.03,-120,4805.03
100100009,09/10/21,MEDICARE,50,13998.13,4638.2,4122.26,-120,4002.26
100100010,09/11/21,MEDICARE,50,12957.29,4546.63,4273.04,-120,4153.04
100100011,09/12/21,MEDICARE,50,13504.23,5398.61,4837.69,-120,4717.69
100100012,09/13/21,MEDICARE,50,14148.66,5245.78,4815.8,-120,4695.8
100100013,09/14/21,MEDICARE,50,13273.93,4780.33,4280.02,-120,4160.02
100100014,09/15/21,MEDICARE,50,14171.35,5082.14,4551.92,-120,4431.92
100100015,09/16/21,MEDICARE,50,14048.95,4790.47,4265,-120,4145
100100016,09/17/21,MEDICARE,50,12852.83,4442.31,3956.34,-120,3836.34
100100017,09/18/21,MEDICARE,50,13307.2,4745.94,4259.61,-120,4139.61
100100018,09/19/21,MEDICARE,50,14870.87,5100.47,4569.8,-120,4449.8
100100019,09/20/21,MEDICARE,50,12916.35,4587.45,4103.4,-120,3983.4
100100020,09/21/21,MEDICARE,50,13013.26,5037.62,4622.93,-120,4502.93
100100021,09/22/21,MEDICARE,50,13843.74,5154.25,4756.04,-120,4636.04
100100022,09/23/21,MEDICARE,50,12632.51,5088.27,4625.02,-120,4505.02
100100023,09/24/21,MEDICARE,50,13113.82,5420.59,4743.84,-120,4623.84
100100024,09/25/21,MEDICARE,50,13396.51,4402.48,4024.91,-120,3904.91
100100025,09/26/21,MEDICARE,50,13441.71,5027.69,4394.1,-120,4274.1
100100026,09/27/21,MEDICARE,50,13237.65,5017.98,4513.97,-120,4393.97
100100027,09/28/21,MEDICARE,50,14516.1,5614.23,5104.61,-120,4984.61
100100028,09/29/21,MEDICARE,50,13016.2,5085.01,4574.18,-120,4454.18
100100029,09/30/21,MEDICARE,50,12906.23,4389.14,4038.66,-120,3918.66
100100030,10/01/21,MEDICARE,50,15357.71,5611.14,4898.97,-120,4778.97
100100031,10/02/21,MEDICARE,50,13946.88,5081.83,4575.27,-120,4455.27
100100032,10/03/21,MEDICARE,50,13601.7,5026.65,4512.37,-120,4392.37
100100033,10/04/21,MEDICARE,50,15031.07,5156.45,4601.39,-120,4481.39
100100034,10/05/21,MEDICARE,50,12585.03,4604.86,4149.9,-120,4029.9
100100035,10/06/21,MEDICARE,50,12611.39,4997.31,4558.42,-120,4438.42
100100036,10/07/21,MEDICARE,50,13602.47,5009.09,4409.42,-120,4289.42
100100037,10/08/21,MEDICARE,50,13542.02,4776.57,4522.47,-120,4402.47
100100038,10/09/21,MEDICARE,50,13459.56,4858.82,4561.89,-120,4441.89
100100039,10/10/21,MEDICARE,50,14493.04,5460.17,4979.29,-120,4859.29
100100040,10/11/21,MEDICARE,50,13817.02,5355.87,4800.3,-120,4680.3
100100041,10/12/21,MEDICARE,50,12284.38,4262.76,3887.14,-120,3767.14
100100042,10/13/21,MEDICARE,50,12079.53,4923.68,4309.52,-120,4189.52
100100043,10/14/21,MEDICARE,50,13261.62,4569.17,4032.33,-120,3912.33
100100044,10/15/21,MEDICARE,50,13953.84,4895.22,4336.03,-120,4216.03
100100045,10/16/21,MEDICARE,50,15140.48,5394.45,4832.21,-120,4712.21
100100046,10/17/21,MEDICARE,50,13805.93,5653.94,5232.38,-120,5112.38
100100047,10/18/21,MEDICARE,50,13317.97,4792.78,4271.73,-120,4151.73
100100048,10/19/21,MEDICARE,50,13900.71,5093.68,4596.23,-120,4476.23
100100049,10/20/21,MEDICARE,50,12770.03,4785.07,4418.3,-120,4298.3
